	0	len
0	[PAD]	5
1	[unused0]	9
2	[unused1]	9
3	[unused2]	9
4	[unused3]	9
5	[unused4]	9
6	[unused5]	9
7	[unused6]	9
8	[unused7]	9
9	[unused8]	9
10	[unused9]	9
11	[unused10]	10
12	[unused11]	10
13	[unused12]	10
14	[unused13]	10
15	[unused14]	10
16	[unused15]	10
17	[unused16]	10
18	[unused17]	10
19	[unused18]	10
20	[unused19]	10
21	[unused20]	10
22	[unused21]	10
23	[unused22]	10
24	[unused23]	10
25	[unused24]	10
26	[unused25]	10
27	[unused26]	10
28	[unused27]	10
29	[unused28]	10
30	[unused29]	10
31	[unused30]	10
32	[unused31]	10
33	[unused32]	10
34	[unused33]	10
35	[unused34]	10
36	[unused35]	10
37	[unused36]	10
38	[unused37]	10
39	[unused38]	10
40	[unused39]	10
41	[unused40]	10
42	[unused41]	10
43	[unused42]	10
44	[unused43]	10
45	[unused44]	10
46	[unused45]	10
47	[unused46]	10
48	[unused47]	10
49	[unused48]	10
50	[unused49]	10
51	[unused50]	10
52	[unused51]	10
53	[unused52]	10
54	[unused53]	10
55	[unused54]	10
56	[unused55]	10
57	[unused56]	10
58	[unused57]	10
59	[unused58]	10
60	[unused59]	10
61	[unused60]	10
62	[unused61]	10
63	[unused62]	10
64	[unused63]	10
65	[unused64]	10
66	[unused65]	10
67	[unused66]	10
68	[unused67]	10
69	[unused68]	10
70	[unused69]	10
71	[unused70]	10
72	[unused71]	10
73	[unused72]	10
74	[unused73]	10
75	[unused74]	10
76	[unused75]	10
77	[unused76]	10
78	[unused77]	10
79	[unused78]	10
80	[unused79]	10
81	[unused80]	10
82	[unused81]	10
83	[unused82]	10
84	[unused83]	10
85	[unused84]	10
86	[unused85]	10
87	[unused86]	10
88	[unused87]	10
89	[unused88]	10
90	[unused89]	10
91	[unused90]	10
92	[unused91]	10
93	[unused92]	10
94	[unused93]	10
95	[unused94]	10
96	[unused95]	10
97	[unused96]	10
98	[unused97]	10
99	[unused98]	10
100	[UNK]	5
101	[CLS]	5
102	[SEP]	5
103	[MASK]	6
104	[unused99]	10
105	[unused100]	11
106	[unused101]	11
107	[unused102]	11
108	[unused103]	11
109	[unused104]	11
110	[unused105]	11
111	[unused106]	11
112	[unused107]	11
113	[unused108]	11
114	[unused109]	11
115	[unused110]	11
116	[unused111]	11
117	[unused112]	11
118	[unused113]	11
119	[unused114]	11
120	[unused115]	11
121	[unused116]	11
122	[unused117]	11
123	[unused118]	11
124	[unused119]	11
125	[unused120]	11
126	[unused121]	11
127	[unused122]	11
128	[unused123]	11
129	[unused124]	11
130	[unused125]	11
131	[unused126]	11
132	[unused127]	11
133	[unused128]	11
134	[unused129]	11
135	[unused130]	11
136	[unused131]	11
137	[unused132]	11
138	[unused133]	11
139	[unused134]	11
140	[unused135]	11
141	[unused136]	11
142	[unused137]	11
143	[unused138]	11
144	[unused139]	11
145	[unused140]	11
146	[unused141]	11
147	[unused142]	11
148	[unused143]	11
149	[unused144]	11
150	[unused145]	11
151	[unused146]	11
152	[unused147]	11
153	[unused148]	11
154	[unused149]	11
